palabra,tipo,significado
CEÑO,m.,"Demostración o señal de enfado y enojo, que se hace con el rostro, dejando caer el sobrecejo o arrugando la frente. / Aspecto imponente y amenazador que toman ciertas cosas. / Entrecejo, espacio que hay entre las cejas.
S. enfado, enojo, disgusto, irritación, sobrecejo, arruga, capote, gesto, expresión, manifestación
A. alegría, contento, satisfacción, agrado, euforia, avenencia, concordia
C. Mostró el ceño fruncido cuando le dijeron cosas que no le agradaron.
(1) Cerco o aro que ciñe algo."
CEPA,f.,"Parte del tronco de cualquier árbol o planta, que está dentro de tierra y unida a las raíces. / Tronco de la vid, del cual brotan los sarmientos, y, por extensión, toda la planta. / Raíz o principio de algunas cosas, como el de las astas y colas de los animales. / Tronco u origen de una familia o linaje. / Conjunto de varias plantas que tienen una raíz común. 
S. raza, cuna, estirpe, linaje, familia, abolengo, prosapia, ralea, casta, genealogía, alcurnia, tronco, casa, sangre, nacimiento, partida, principio
C. Para que deje de crecer la planta debemos arrancarla desde la cepa."
CEPO,m.,"Instrumento hecho de dos maderos gruesos, que unidos forman en el medio unos agujeros redondos, en los cuales se aseguraba la garganta o la pierna del reo, juntando los maderos. / Artefacto que sirve para cazar animales mediante un dispositivo que se cierra aprisionando al animal cuando este lo toca. / Instrumento que sirve para inmovilizar automóviles aparcados en zona prohibida. / En cafés, hoteles y otros lugares de pública lectura, utensilio compuesto de una o dos varillas de madera o metal, que sirve para sujetar los periódicos y revistas sin doblarlos. / Rama de árbol.
S. trampa, ardid, artimaña, treta, astucia, artería, truco, subterfugio, añagaza, anzuelo, cebo, lazo, emboscada, asechanza, celada, ratonera, orzuelo, encerrona, ramo
A. honradez, crédito, confianza, verdad, franqueza
C. El pobre oso cayó en el cepo del cazador, lo cual le lastimó la pata derecha."
CEPORRO,m.,"Cepa vieja que se arranca para la lumbre. / Persona torpe e ignorante.
S. rudo, torpe, bruto, tosco, hosco, necio, basto, inculto
A. delicado, suave, cortés, amable, afable, cordial
C. Eduardo se comporta como todo un ceporro al no querer entender que no debe hacer eso y el muy manazas lo sigue haciendo."
CERBATANA,f.,"Canuto en que se introducen bodoques, flechas u otras cosas, para despedirlos o hacerlos salir impetuosamente, soplando con violencia por uno de sus extremos. / Trompetilla para los sordos.
S. cañuto, bambú, caña, tubo, tubito, cánula, boquilla, canutillo, cañita, cilindro
C. Metió el dardo dentro de la cerbatana para luego soplarlo en dirección al enemigo."
CERCIORAR,v.,"Asegurar a alguien la verdad de algo. 
S. certificar, acreditar, atestiguar, aseverar, garantizar, justificar, afirmar, apoyar, manifestar, asentar, corroborar, confirmar, revalidar, reiterar, verificar, persuadir, convencer, atestar, avalar, responder
A. negar, rechazar, objetar, refutar, impugnar, oponerse, prohibir, dudar, vacilar, ignorar, titubear, fluctuar, oscilar, trepidar, desconfiar, recelar, escamarse, sospechar, cuestionar, discutir
C. Puesto que nunca encontraron pruebas fehacientes no se pudo cerciorar la veracidad de sus argumentos."
CERDA,f.,"Pelo grueso, duro y largo que tienen las caballerías en la cola y en la cima del cuello. / Pelo de otros animales, como el jabalí, puerco, etc., que, aunque más corto, es recio. / Pelo de cepillo, de brocha, etc., de materia animal o artificial. / Hembra del cerdo. /  Mujer sucia, grosera o ruin.
S. hebra, fibra, filamento, hila, brizna, pelo, vello, cabello, gorrina, cebona, lechona, mugrienta, mugrosa, sucia,  asquerosa, inmunda, roñosa, repugnante, maloliente,
A. limpia, pura, cándida, impoluta, desinfectada, higiénica, lavada, aseada, cuidada, fregada, lustrada, bañada, pulcra, lamida, aliñada
C. Quemaremos la cerda del chancho sacrificado usando sopletes porque no hay otra forma de pelarlo."
CERILLA,f.,"Varilla fina de cera, madera, cartón, etc., con una cabeza de fósforo que se enciende al frotarla con una superficie adecuada. / Vela de cera, muy delgada y larga. / De los oídos.
S. fósforo, mixto, bengala, llama, hachón, vela, bujía, hacha, pajuela, cirio, lucerna, cera, capilla, espermilla
C. Solo queda una cerilla en la cajita de fósforos."
CERNÍCALO,m.,"Ave de rapiña, común en España / Hombre ignorante y rudo
S. rudo, bruto, bestia, basto, grosero, inculto, ordinario
A. cortés, amable, afable, atento, educado, delicado
C. Amador se escuda en su apariencia de macho cernícalo pero en realidad es muy culto y elegante."
CERRAZÓN,f.,"Oscuridad grande que suele preceder a las tempestades, cubriéndose el cielo de nubes muy negras. / Niebla espesa que dificulta la visibilidad. / Incapacidad de comprender algo por ignorancia o prejuicio. / Obstinación, obcecación.
S. oscuridad, tinieblas, lobreguez, tenebrosidad, noche, negrura
A. amanecer, albor, despunte, claror, luminosidad
C. Apenas podía distinguirse las formas en la distancia con la cerrazón que anunciaba las violentas tormentas de la tarde.
(2) Cerro alto y escarpado."
CERRERO,adj.,"No domado. / Persona Inculta, brusca. / Líquido como el café muy cargado o fuerte y sin endulzar. 
S. montaraz, cerril, soez, gañán, bravío, fiero, torvo, bárbaro, salvaje, cimarrón, indómito, indomable, ingobernable, rebelde, indócil, tenaz, independiente remiso, incorregible, impenitente, renuente, montés, silvestre, sativo, grosero, tosco, bestia, áspero, bronco, acerbo, desapacible, ceñudo, ignaro, analfabeto, ayuno, rústico, iletrado
A. flexible, manso, dócil, obediente, doméstico, manejable, dúctil, cordero, disciplinado, dependiente, gobernable, amaestrado, poncho, culto, cultivado, docto, sabio, educado, letrado, versado, benigno, suave, dulce
C. El caballo cerrero pasea libremente por las amplias planicies del continente."
CERRIL,adj.,"Terreno áspero y escabroso. / Ganado mular, caballar o vacuno no domado. / Grosero, tosco, rústico. / Que se obstina en una actitud o parecer, sin admitir trato ni razonamiento.
S. bravío, montaraz, agreste, montés, bravo, indomable
A. manso, dócil, doméstico, sumiso, obediente
C. Debido a lo cerril del terreno fue muy difícil escalar la colina."
CERROJO,m.,"Barreta cilíndrica de hierro, con manija, por lo común en forma de T, que está sostenida horizontalmente por dos armellas, y entrando en otra o en un agujero dispuesto al efecto, cierra y ajusta la puerta o ventana con el marco, o una con otra las hojas, si la puerta es de dos. / En los fusiles y otras armas ligeras, cilindro metálico que contiene los elementos de percusión, de obturación y de extracción del casquillo.
S. pasador, falleba, fijador, trinquete, fiador, picaporte, aldaba, pedro, barra, tranca, hierro, eje, chapa, llavín
C. Echó llave al cerrojo de la puerta."
CERTIDUMBRE,f.,"conocimiento seguro y claro de alguna cosa.
S. axioma, dogma, regla, certeza, evidencia, certitud, perogrullada, certero
A. vacilación, irresolución, duda, hesitación, incertidumbre, inseguridad, titubeo, fluctuación, dilema
C. Tengo la certidumbre plena que la solución a este problema será hallado en menos de un día."
CERÚLEO,adj.,"Dicho del color azul: Propio del cielo despejado, o de la alta mar o de los grandes lagos.
S. céreo, añil, índigo, garzo, marino, azur
C. Apenas podía controlar la mirada, respiraba con dificultad, la piel tenía un tinte cerúleo, en vez de su habitual tono rosado y sano."
CERVIZ,f.,"Parte dorsal del cuello, que en el hombre y en la mayoría de los mamíferos consta de siete vértebras, de varios músculos y de la piel.
S. cogote, nuca, morrillo, gollete, degolladero, testuz, gaita, occipucio, cuello
C. Lo golpearon por la espalda pues se podía ver que recibió un fuerte golpe en la cerviz muy cerca a la parte trasera del cerebro."
CESAR,v.,"Suspenderse o acabarse una cosa. / Dejar de desempeñar algún empleo o cargo. / Dejar de hacer lo que se está haciendo.
S. acabar, finalizar, terminar, concluir, morir, suprimir, rescindir, cancelar
A. comenzar, abordar, iniciar, entablar, empezar, promover, originar, arrancar, abrir
C. Nadie entendía cómo no se había muerto de hambre, hasta que los indígenas, que se daban cuenta de todo porque recorrían la casa sin cesar, descubrieron que solo le gustaba comer la tierra húmeda del patio."
CESPITAR,v.,"Titubear, vacilar.
S. vacilar, oscilar, afirmar, asegurar, dudar, fluctuar
A. afirmar, acertar, avalar, aseverar
C. Cansados de cespitar ante la posibilidad de hacerlo o no, decidieron realizarlo a la buena de Dios."
CETÁCEO,adj.,"Se dice de los mamíferos pisciformes, marinos, algunos de gran tamaño, que tienen las aberturas nasales en lo alto de la cabeza, por las cuales sale el aire espirado, cuyo vapor acuoso, cuando el ambiente es frío, suele condensarse en forma de nubecillas que simulan chorros de agua. Tienen los miembros anteriores transformados en aletas, sin los posteriores, y el cuerpo terminado en una sola aleta horizontal; p. ej., la ballena y el delfín. Viven en todos los mares.
S. marsopa, orca, cachalote, manatí
C. El delfín chino de agua dulce es el cetáceo en mayor peligro de extinción y uno de los mamíferos más raros del mundo."
CETRERÍA,f.,"Arte de criar, domesticar, enseñar y curar los halcones y demás aves que servían para la caza de volatería. / Caza de aves y algunos cuadrúpedos que se hacía con halcones, azores y otros pájaros que perseguían la presa hasta herirla o matarla.
S. caza, altanería, arte, deporte, cacería, ojeo, batida, acorralamiento, montería
C. Entre sus múltiples viajes a Mongolia había conocido a un viejo cazador que practicaba la cetrería de forma tan efectiva que su pequeño halcón era capaz de distinguir una liebre a más de dos kilómetros de distancia."
CETRINO,adj.,"Color amarillo verdoso. / Compuesto con cidra o que participa de sus cualidades. / Melancólico y adusto.
S. amarillento, ambarino, rubio, dorado, pajizo, áureo, pálido, lívido, tostado, bronceado, moreno, cobrizo, terroso, pardo, aceitunado, verdoso, mustio, mohíno, macilento, hipocondríaco, tristón, taciturno, doliente, pesaroso, hosco, afligido, compungido, atribulado, apenado, abatido, alicaído, cabizbajo, deprimido, lánguido, desilusionado, triste, huraño, retraído, esquivo, ceñudo, misógino, intratable, desdeñoso, agrio, acre
A. claro, blanco, feliz, dichoso, radiante, contento, satisfecho, campante, encantado, risueño, venturoso, Fausto, beato, chambón, boyante, bienaventurado, beatífico, próspero, amable, abierto, tratable, afable, suave
C. Luego de la muerte de toda su familia adquirió un trato cetrino con sus amigos quienes terminaron alejándose de él."
CETRO,m.,"Vara de oro u otra materia preciosa, labrada con primor, que usaban solamente emperadores y reyes por insignia de su dignidad. / Supremacía en algo. 
S. bastón, báculo, cayado, caduceo, barra, rama, estaca, garrote, tirso, jalón, rodrigón, pértiga, reino, trono, reinado, superioridad, primacía, autoridad, poder, poderío, preeminencia, imperio, mando, gobierno
C. El Inca porta  a manera de báculo el cetro de su poder real."
CHABACANO,adj.,"Sin arte o grosero y de mal gusto. / Lengua mixta de español y dialectos indígenas, hablada en Mindanao y otras islas filipinas.
S. ramplón, basto, chanflón, inelegante, burdo, tosco, tópico
A. elegante, refinado, selecto, fino, exquisito, aristocrático, selecto
C. El diseño chabacano de la casa no gustó ni al más vulgar de los asistentes."
CHABOLA,f.,"Cabaña. / Vivienda de escasas proporciones y pobre construcción, que suele edificarse en zonas suburbanas.
S. choza, chamizo, tugurio, antro, cueva, refugio, cobijo, barraca, bohío, caseta, casilla, casucha, garita, cabañuela, pajar, borda, chozuela
A. palacio, mansión, chalé
C. Frecuentaba la chabola del más pobre de los hombres de la región hasta que pudo conseguir un marido con una choza más grande."
CHACHALACA,f.,"Ave galliforme, el macho tiene cresta y barbas. Es voladora y vocinglera y su carne es comestible. / Persona que habla en demasía. / Charla en voz alta, insistente y molesta.
S. lenguaraz, deslenguado, descocado, desfachatado, charlatán, hablantín, maledicente, gárrulo
A. discreto, cauto, prudente, reservado, velado, cauteloso, modoso, mirado, respetuoso, medido, callado, comedido, bienhablado, cortés
C. La maleducada jovencita nos incomodaba a todos con la chachalaca por el celular que tenía con su novio."
CHÁCHARA,f.,"Conversación frívola. / Abundancia de palabras inútiles. / Baratijas, cachivaches.
S. locuacidad, parloteo, labia, facundia, monserga, verbosidad, palabreo, charlatanería, retahíla, cotorreo, broza, perorata, picoteo
A. reserva, silencio, parquedad, discreción
C. Mientras se echaba agua de la alberca, le dijo que era un problema que el techo estuviera en ese estado, pues ella creía que la cama de hojas podridas por la lluvia era lo que llenaba el baño de alacranes. El forastero confundió aquella cháchara con una forma de disimular la complacencia."
CHACHI,adj.,"Estupendo, muy bueno.
S. chanchi, chipén, bacán, maravilloso, admirable, prodigioso, fenomenal, extraordinario, fantástico, excepcional, inaudito, increíble, fascinante, inigualable, magnífico, espléndido, excelente, perfecto, bárbaro
A. despreciable, desdeñable, imperfecto, pésimo, desagradable, vulgar, simple, normal, desastroso, indeseable, atroz, ñiquiñaque
C. A todos gustó la fiesta, nos quedó muy chachi.
(2) Individuo de un pueblo amerindio que habita la costa ecuatoriana. / Lengua hablada por los cayapas. / Conjunto de personas que arremete contra alguien que está indefenso. / Grupo de personas que, conjuntamente, realizan un trabajo no remunerado."
CHACO,m.,"Montería con ojeo, que hacían antiguamente los indios de América del Sur estrechando en círculo la caza para capturarla.
S. cetrería, cacería, caza, persecución, batida
C. La forma más efectiva de atrapar a tantas vicuñas es con la ayuda un grupo igual de grande formando el chaco con las manos extendidas hasta encerrarlas en un círculo de donde no puedan escapar."
CHACOTA,f.,"Bulla y alegría mezclada de chanzas y carcajadas, con que se celebra alguna cosa.
S. burla, chanza, guasa, befa, mofa, zumba, candonga, zacapela
A. circunspección, prudencia, discreción, cordura, mesura, formalidad, seriedad, juicio, tiento
C. El profesor estaba harto de la chacota provocada por los alumnos cuando uno de ellos se tropezó al entrar al salón."
CHAFAR,v.,"Aplastar lo que está erguido o lo que es blando o frágil, como la hierba, el pelo de ciertos tejidos, las uvas, los huevos, etc. / Estropear, echar a perder. / Arrugar y deslucir la ropa, maltratándola. / Deslucir a alguien en una conversación o concurrencia, cortándole y dejándole sin respuesta. / Desengañar, desilusionar, deprimir a alguien.
S. hollar, pisar, comprimir, apretujar, prensar, apisonar, allanar, aplanar, asentar, machacar, moler, remachar, apachurrar, achatar, maltratar, arruinar, contaminar, pervertir, ajar, deslucir, malear, desmerecer, deslustrar, manchar, marchitar, desgastar, corroer, descomponer, perturbar, alterar, desbaratar, arruinar, pudrir, abollar, inutilizar, impedir, ajar, plegar, fruncir, arrebujar, magullar, estriar, surcar, decepcionar, despechar, desesperanzar, frustrar, desalentar, chasquear, defraudar, contrariar, desesperar, disgustar, errar, equivocar
A. esponjar, alentar, ensalzar, consolar, instar, reparar, reconstruir, mejorar, beneficiar, purificar, beneficiar, curar, restablecer, rehabilitar, arreglar, indemnizar, ayudar, pagar, satisfacer, recompensar, subsanar, remediar, planchar, alisar, estirar, almidonar, engañar, estafar, ilusionar, falsificar, traicionar, falsear, fingir, afectar, simular, falsificar
C. No pudo evitar chafar los huevos al sentarse en la mochila que los portaba."
CHAFAROTE,m.,"Sable corto y ancho, que suele ser corvo hacia la punta. / Militar.
S. alfanje, espada, montante, machete, chuzo, guerrero, combatiente, marcial castrense, oficial, táctico, estratega
C. El veterano chafarote había estudiado en la escuela militar de Chorillos."
CHAFARRINAR,v.,"Deslucir algo con manchas o borrones.
S. embadurnar, chapucear, tiznar, manchar, ensuciar, deslustrar, ajar, emporcar, empañar, arrugar, gastar, desmerecer, desairar, mancillar, infamar, desteñir, decolorar
A. enaltecer, lucir, brillar, limpiar, agraciar, mejorar, brillar, destellar, fulgurar, ostentar, enlucir, bruñir, blanquear
C. La muy malvada deseaba chafarrinar el vestido de la novia con betún y frutas podridas."
CHAGRA,adj.,"Inculto, de modales rústicos. / De mal gusto. /Cilindro para afilar cuchillas. / Campesino ecuatoriano.
S. burdo, hosco, ignorante, iletrado, indocto, analfabeto, ignaro, ayuno, rústico, ramplón, bestia, ordinario, tosco, aldeano, paisano, cholo, lugareño, campestre, agricultor, granjero, estanciero, vaquero
A. culto, civilizado, educado, deferente, cultivado, fino, delicado, fililí, refinado, instruido, cultivado, pulido
C. Podrá tener mucho dinero pero nadie le quita lo chagra, fíjate no más el estrambótico vestido que llevó al velorio."
CHAGUALA,f.,"Pendiente que los indios llevaban en la nariz. / Zapato viejo. / Chancleta.
S. joya, colgante, aro, péndulo, candonga, dormilona, orejera, abridor, adorno, festón, babucha, abarca, pantufla, chapín, sandalia, chancla, huarache, alpargata, zapatilla
C. Al salir del baño matinal se percató que le faltaba una chaguala, ahora tendría que caminar con una sola chancleta hasta encontrarla."
CHAL,m.,"Paño de seda o lana, mucho más largo que ancho, y que, puesto en los hombros, sirve a las mujeres como abrigo o adorno.
S. mantón, manto, pañoleta, argelina, toquilla, bufanda, estola, chalina, tapabocas, tapada
C. El traje se completaba con el chal que abrigaba su frágil cuello del inclemente clima."
CHALADO,adj.,"Alelado, falto de seso o juicio. / Muy enamorado.
S. enamorado, loco, chiflado, ido, sonado, maniático, alineado
A. cuerdo, equilibrado, juicioso, sesudo
C. Al volver de la guerra quedó más chalado que el demente de la esquina."
CHALÁN,adj.,"Que trata en compras y ventas, especialmente de caballos u otras bestias, y tiene para ello maña y persuasiva. / Domador de caballos. / Ayudante de un albañil, un pintor, etc.
S. tratante, vaquero, ganadero, buhonero, regatón, traficante, especulador, estanciero, comunero, pecuario, propietario, ranchero, criador, auxiliar, coadjutor, coadjunto, subalterno, agregado, asistente, coagente, colaborador
A. director, principal superior, jefe, maestro, mentor
C. El chalán fue capaz de vender más de doscientas cabezas de su ganado en una sola semana."
CHALCHIHUITE,m.,"Cachivache, baratija. / Collar de pequeños adornos que usan los indígenas.
S. cacharro, traste, chirimbolo, vasija, artilugio, artefacto, trebejo, enseres, fruslerías, bártulos, objeto, nadería, bagatela, bujería, espantavillanos, minucia, friolera, monada
A. valor, importancia, cardinal
C. Se pagará un precio ínfimo por todo chalchihuite que se oferte durante la subasta."
CHALÉ,m.,"Casa de madera y tabique a estilo suizo. / Casa de recreo o vivienda, generalmente rodeada de un pequeño jardín.
S. chalet, casa, hogar, domicilio
C. Los invitados fueron recibidos en el chalé en donde podían sentir toda la tranquilidad del campo."
CHALUPA,f.,"Embarcación pequeña, que suele tener cubierta y dos palos para velas. / Lancha.
S. bote, falúa, chalana, barca, balandra, esquife, chinchorro, calera, batel, pinaza, barcaza, góndola, junco, barquichuelo
C. Las fuertes olas mecían la endeble chalupa del pescador, quien se esmeraba en mantener las velas en su lugar."
CHAMAGOSO,adj.,"Mugriento, astroso. / Mal dispuesto. /Cosa baja, vulgar y deslucida.
S. puerco, roñoso, cochino, cedo, mohoso, pringoso, manchado, gorrino, sucio, inmundo, asqueroso, adán, nauseabundo, repugnante, desastrado, desgalichado, poluto, harapiento, pingajoso, andrajoso, mediocre, vil, abyecta, sanchopancesco
A. limpio, pulcro, impoluto, higiénico, íntegro, lamido, curioso, depurado, saneado, inviolado, inmaculado, , incólume, purificado, impecable, intachable
C. Traía un aspecto chamagoso al salir de las cloacas."
CHAMÁN,m.,"Hechicero al que se supone dotado de poderes sobrenaturales para sanar a los enfermos, adivinar, invocar espíritus, etc.
S. brujo, mago, nigromante, hechizador, agorero, encantador
C. Bastó una palabra del chamán del pueblo para que los aldeanos creyeran que era en realidad obra de los espíritus del monte."
CHAMARILERO,m. y f.,"Persona que se dedica a comprar y vender objetos de lance y trastos viejos.
S. ropavejero, trapero, chatarrero, quincallero, buhonero, mercachifle, prendero
C. El chamarilero solo puede pagar un precio muy bajo por cada cosa vieja que te compre, solo así obtendrá alguna ganancia al revenderla."
CHAMARRA,f.,"Vestidura de tela gruesa y tosca o paño burdo.
S. pelliza, abrigo, gabán, tabardo, capote, saco, guerrera, cazadora, chaqueta
C. Sobre sus ropas habituales se colocó la chamarra que le protegerá de los posibles raspones que vendrían con la ejecución de la obra."
CHAMBA,f.,"En el juego de billar, suerte favorable que se gana por casualidad. /Empleo, trabajo.
S. chiripa, azar, acaso, suerte, ventura, zapallo, acierto potra, casualidad, coincidencia, fortuna, ventaja, ganga, cargo, vacante, carrera, profesión, función, ocupación, oficio, arte, trajín, quehacer, encargo, servicio, actividad
A. certeza, certidumbre, seguridad, convicción, infalibilidad, desempleo, despido
C. Algunos políticos ofrecieron chamba para medio mundo y solo les otorgaron una “chambita” como recicladores.
(2) Zanja o vallado que sirve para limitar los predios."
CHAMIZO,m.,"Árbol medio quemado o chamuscado. / Leño medio quemado. / Choza cubierta de hierba. / Tugurio sórdido de gente de mal vivir.
S. cabaña, bohío, casucha, barraca, tugurio, cuchitril, casilla, refugio, cueva, cobijo, tabuco, garito, toldo, borda, chozuela, cobertizo, pajar
A. palacio, mansión, palacete, heredad, castillo, residencia, edificio
C. Para apagar el fuego del horno tenemos que sacar esa enorme leña aunque ya esté chamizo."
CHAMUCHINA,f.,"Cosa de poco valor. / Populacho. / Desorden, alboroto, especialmente de niños.
S. bagatela, nonada, nadería, friolera, minucia, menudencia, insignificancia, tilde, baratija, nimiedad, futilidad, puerilidad, pamplina, tontería, niñería, necedad, intrascendente, masa, horda, plebe, mamarrachada, morralla, vulgo, garbullo, caos, desconcierto, desbarajuste, anarquía, galimatías, desgobierno, incoherencia, laberinto, barullo, baraúnda, babel, leonera, enredo, maraña, fárrago, baturrillo, mezcolanza, tropel, disturbio, agitación, bochinche
A. trascendente, importante, cardinal, principal, unidad, individualidad, persona, singularidad, orden, armonía, paz, concierto
C. No pagaré ni un sol por esa chamuchina."
CHAMUSCAR,v.,"Quemar algo por la parte exterior.
S. carbonizar, requemar, tostar, dorar, abrasar, ennegrecer, resecar
C. Solo se logró chamuscar la carne debido al violento fuego, el interior aún estaba muy crudo."
CHANCHULLO,m.,"Manejo ilícito para conseguir un fin, y especialmente para lucrarse.
S. componenda, manejo, intriga, arreglo, confabulación, entruchada, manipulación, remiendo
A. legalidad, legitimidad, moralidad, fidelidad, autenticidad
C. Se compró más de cincuenta patrulleros sobrevalorados, siendo esa la razón por la que los encargados fueron acusados de perpetrar un chanchullo."
CHANFLE,m.,"Golpe o corte oblicuo producido en alguna cosa. /Hombre homosexual. / En el fútbol y en los deportes de raqueta, efecto de rotación que se da a la pelota. 
S. porrazo, trancazo, codazo, ramalazo, estacazo baquetazo, cachiporrazo, empujón, empollón, pisotón, verdugazo, azote, tajo, muesca, cisura, circuncisión, tajadura, herida, poda, desmoche, cacorro, bujarrón, gay, carininfo
A. caricia, mimo, arrumaco, monada, terneza, abrazo, roncería, macho, varonil, padre, masculino, varón, hombruno
C. El jugador dio una patada al balón provocando un chanfle que confundió al arquero quien se lanzó al lado derecho cuando la pelota ingresó por el izquierdo."
CHANGO,adj.,"Se dice del individuo de un pueblo amerindio que habitaba el norte de Chile. / Elegante. / Bromista, guasón. / Niño, muchacho. / Persona de modales afectados o pueriles. / Carrito que se lleva para cargar las compras. / Simio. 
S. fino, sibarita, selecto, refinado, distinguido, aristocrático, mundano, exquisito, delicado, cuidadoso, relamido, airoso, garboso, gallardo, apuesto, caro, majestuoso, desenvuelto, gentil, dandi, donoso, donairoso, grácil, ligero, esbelto, florido, galano, gentilhombre, figurín, lechuguino, gomoso, petimetre, paquete, pisaverde, sofisticado, currutaco, acicalado, burlón, chancero, zumbón, jaranero, irónico, socarrón, bufón, payaso, divertido, jocoso, animado, alegre, radiante, jovial, juguetón, pajarero, jacarandoso, crío, infante, chiquillo, chaval, impúber, mocito, criatura, bebé, pollito, angelito, párvulo, hijo, descendiente, nene, peque, escuincle, mono, mico, cuadrumano, chimpancé, antropoide, primate
A. cursi, grosero, chabacano, tosco, rudo, descortés, basto, áspero, vulgar, ordinario, grotesco, feo, fantoche, mamarracho, histrión, chusco, ganso, desaliñado, descuidado, soso, triste, apenado, dolorido, luctuoso, mustio, inconsolable, apesadumbrado, desolado, abatido, mohíno, pesimista, alicaído, cabizbajo, entristecido, doliente, cariacontecido, saturnino, tristón, angustiado, sombrío, fúnebre, infausto, infeliz, lamentable, desventurado, patético, deprimente, melancólico, atribulado, hombre, adulto, crecido, mayor, desarrollado
C. Con ese traje de etiqueta el novio se ve muy chango."
CHANGÜÍ,m.,"Chasco, engaño. / Ventaja, oportunidad, en especial la que se da en el juego. 
S. fraude, picardía, pifia, ridículo, patinazo, chambonada, desacierto, desaire, fiasco, añagaza, artimaña, treta, argucia, truco, trampa, celada, zancadilla, estafa, fullería , preeminencia, delantera, prerrogativa, primacía, excelencia, prelación, mejoría, ganga, breva, momio, sinecura, prebenda, pitanza, pera, mina, chamba
A. ánimo, confianza, esperanza, desventaja, mengua, menoscabo, perjuicio, decadencia, trastorno, inconveniente, dificultad, rémora
C. Aprovecha el changüí puesto que no está el arquero en su portería."
CHANTAR,v.,"Fijar verticalmente algo. / Clavar. / Vestir o poner. / Decir a alguien palabras o frases de manera franca o desagradable. /Dar golpes. / Poner a alguien en un sitio contra su voluntad.
S. plantar, clavar, poner, insertar, incrustar, hincar, hundir, añadir, tapar, ataviar, engalanar, adornar, franquear, golpear, aporrear, magullar, batir, apalear, obligar
A. desclavar, arrancar, extraer, quitar, soltar, desunir, separar, sacar, acariciar, mimar
C. Hay que chantar bien el clavo en la calamina sino saldrá arrojada por el viento."
CHANZA,f.,"Dicho festivo y gracioso. / Hecho burlesco para recrear el ánimo o ejercitar el ingenio.
S. chirigota, gracia, chuscada, mojiganga, zumba, guasa, chacota, befa, mofa, escarnio, pulla, sarcasmo, sátira, desaire, chasco, risa, broma, candonga, truco, cuchufleta, sátira
A. seriedad, gravedad, austeridad, formalidad, circunspección, prudencia, juicio, sensatez, cordura, madurez, miramiento, respeto, responsabilidad
C. Bastó una ingeniosa chanza del orador para alegrar los ánimos de la concurrencia."
CHAPALEAR,v.,"Sonar el agua batida por las manos y los pies.
S. chapotear, salpicar, traquetear, mojar, regar, mojar, duchar
C. Ya que estás descalza y con los pies húmedos deja de chapalear al borde la piscina y nada con nosotros."
CHAPARRÓN,m.,"Lluvia recia de corta duración. / Abundancia o muchedumbre de algo. / Riña, regaño, reprimenda.
S. aguacero, chubasco, turbión, nubada, temporal, inclemencia, borrasca, tempestad, rapapolvo, altercado, disputa, querella, polémica, encuentro, choque, pelotera, reprensión, correctivo, bronca, afeamiento, sermoneo, reconvención, vapuleo, felpa, latigazo, rociada, andanada, bufido, claridades, reproche, censura
C. Un chaparrón cayó sobre la aldea, enlodando todas sus polvorosas calles en menos de diez minutos."
CHAPERONEAR,v.,"Acompañar a una pareja para vigilar su comportamiento.
S. escoltar, guardar, custodiar, corear, amparar, asistir, seguir, proteger, defender, salvaguardar, resguardar, conservar, vigilar, atender, patrullar, celar, velar, fiscalizar
A. abandonar, dejar, renunciar, desamparar, desatender, descuidar, desabrigar, desentenderse, desertar
C. Los abuelos solían chaperonear las citas de sus hijos a fin de que no hagan nada indebido."
CHAPETÓN,adj.,"Inexperto, bisoño, novicio. / Español o europeo recién llegado a América. / Primera enfermedad que padecían los europeos al llegar a América.
S. desmañado, inhábil, novato, novel alevín, principiante, neófito, aprendiz, novicio, verde, incipiente, bozal, ignorante
A. veterano, maestro, ducho, experimentado, veterano, antiguo, baquiano, perito, versado, entendido, competente, apto, preparado, diestro, mañoso, advertido, acostumbrado, escarmentado, resabiado
C. No le exijas mucho si apenas tiene un día en el cargo, es un chapetón.
(1) Rodaja de plata con que se adornan los arneses de montar.
(2) Lluvia recia."
CHAPOLA,f.,"Mariposa.
S. polilla, palomilla, insecto
C. La colorida chapola volaba posándose de flor en flor."
CHAPUZAR,v.,"Meter a alguien de cabeza en el agua.
S. sumergir, bañar, hundir, sumir, remojar, calar, zambullir, bucear, anegar, ahogar
A. emerger, flotar, nadar, emanar, salir, sobrenadar
C. El sargento no se cansaba de chapuzar a los soldados en el río cogiéndoles violentamente de la cabeza."
